,Country,Death Rate 1990,Population 1990 (historical estimates,Death rate 2017,Population 2017 (historical estimates)
28,Afghanistan,52.06,12412311,51.55,36296111
547,Albania,27.66,3286070,22.64,2884169
806,Algeria,63.46,25758872,44.03,41389174
1065,American Samoa,28.22,47351,38.62,55617
1207,Andorra,28.59,54508,15.8,76997
1466,Angola,34.77,11848385,34.79,29816769
1847,Antigua and Barbuda,39.53,62533,30.92,95425
2106,Argentina,32.02,32618648,29.08,43937143
2365,Armenia,56.79,3538164,53.93,2944789
3017,Australia,26.06,16960600,10.79,24584619
3276,Austria,34.17,7723954,17.67,8819902
3536,Azerbaijan,52.65,7242758,60.16,9845316
3796,Bahamas,38.88,256226,30.3,381749
4054,Bahrain,138.51,495927,63.71,1494077
4313,Bangladesh,52.71,103171957,50.03,159685421
4572,Barbados,50.56,260933,35.06,286229
4824,Belarus,64.13,10151135,50.22,9450233
5083,Belgium,40.13,10006545,19.42,11419752
5342,Belize,25.31,187554,32.38,375775
5601,Benin,23.36,4978489,24.97,11175192
5860,Bermuda,33.77,61630,16.38,63040
5932,Bhutan,50.26,530801,51.97,745563
6191,Bolivia,33.41,6864839,34.8,11192853
6522,Bosnia and Herzegovina,28.97,4463422,36.72,3351534
6781,Botswana,30.55,1286756,35.41,2205076
7041,Brazil,31.7,149003225,25.1,207833825
7373,Brunei,35.56,258714,20.23,424481
7632,Bulgaria,58.46,8841466,41.65,7102452
7891,Burkina Faso,19.52,8811033,22.86,19193236
8150,Burundi,36.77,5438959,26.02,10827010
8409,Cambodia,24.53,8975597,24.16,16009413
8668,Cameroon,49.52,11780086,57.98,24566070
8927,Canada,23.85,27541323,10.85,36732091
9186,Cape Verde,16.73,337953,26.5,537499
9519,Central African Republic,41.09,2806740,49.1,4596023
9918,Chad,26.71,5963250,34.73,15016761
10249,Chile,36.24,13274617,21.63,18470435
10508,China,91.37,1176883681,60.49,1421021794
10769,Colombia,21.73,33102569,17.93,48909844
11028,Comoros,17.84,411598,17,813890
11268,Congo,48.33,2356740,55.14,5110701
11599,Costa Rica,18.09,3119436,17.79,4949955
11858,Cote d'Ivoire,18.78,11924873,23.08,24437475
12117,Croatia,44.67,4776370,29.44,4182846
12376,Cuba,42.43,10596986,31.02,11339255
12707,Cyprus,48.95,766616,26.34,1179685
12966,Czechia,69.81,10340877,29.6,10641032
13226,Democratic Republic of Congo,32.81,34612023,34.76,81398765
13485,Denmark,40.28,5141117,19.63,5732277
13744,Djibouti,29.45,590393,49.18,944100
14003,Dominica,20.25,70422,30.84,71460
14257,Dominican Republic,13.02,7133491,25.93,10513111
14601,Ecuador,23.47,10230931,24.15,16785356
