Scenario,Year,Disease,AgeGroup,Hospitalisations Avoided,95% CL
1,2016,childhood asthma,0-5,0.016069,0.051718
1,2016,childhood asthma,06-17,0.073645,0.120485
1,2016,childhood asthma,18-64,0.436256,0.289372
1,2016,childhood asthma,65+,0.107085,0.123481
1,2016,childhood asthma,total,0.633055,0.340845
1,2016,chronic obstructive pulmonary disease,0-5,0,0
1,2016,chronic obstructive pulmonary disease,06-17,0,0
1,2016,chronic obstructive pulmonary disease,18-64,7.044017,7.23001
1,2016,chronic obstructive pulmonary disease,65+,-1.583377,6.794064
1,2016,chronic obstructive pulmonary disease,total,5.460641,9.921308
1,2016,coronary heart disease,0-5,0,0
1,2016,coronary heart disease,06-17,0,0
1,2016,coronary heart disease,18-64,0.082712,0.218938
1,2016,coronary heart disease,65+,0.277242,0.300682
1,2016,coronary heart disease,total,0.359954,0.371946
1,2016,lung cancer,0-5,0,0
1,2016,lung cancer,06-17,0.001662,0.01562
1,2016,lung cancer,18-64,-0.124764,0.751069
1,2016,lung cancer,65+,-0.32106,1.208485
1,2016,lung cancer,total,-0.444161,1.422949
1,2016,stroke,0-5,-0.001281,0.008575
1,2016,stroke,06-17,0.014018,0.020806
1,2016,stroke,18-64,0.009584,0.111304
1,2016,stroke,65+,-0.010163,0.162381
1,2016,stroke,total,0.012157,0.198148
1,2016,total,total,6.021645,10.037476
1,2017,childhood asthma,0-5,0.021057,0.052277
1,2017,childhood asthma,06-17,0.099031,0.12269
1,2017,childhood asthma,18-64,0.421875,0.293536
1,2017,childhood asthma,65+,0.082707,0.125965
1,2017,childhood asthma,total,0.624669,0.346145
1,2017,chronic obstructive pulmonary disease,0-5,0,0
1,2017,chronic obstructive pulmonary disease,06-17,0,0
1,2017,chronic obstructive pulmonary disease,18-64,8.2637,7.567245
1,2017,chronic obstructive pulmonary disease,65+,0.372385,7.015264
1,2017,chronic obstructive pulmonary disease,total,8.636085,10.318775
1,2017,coronary heart disease,0-5,0,0
1,2017,coronary heart disease,06-17,0,0
1,2017,coronary heart disease,18-64,0.138537,0.225089
1,2017,coronary heart disease,65+,0.274037,0.305447
1,2017,coronary heart disease,total,0.412574,0.379424
1,2017,lung cancer,0-5,0,0
1,2017,lung cancer,06-17,0.003422,0.011619
1,2017,lung cancer,18-64,0.202078,0.793298
1,2017,lung cancer,65+,0.141445,1.273192
1,2017,lung cancer,total,0.346945,1.500158
1,2017,stroke,0-5,-0.002255,0.008731
1,2017,stroke,06-17,0.015345,0.021139
1,2017,stroke,18-64,-0.033083,0.114348
1,2017,stroke,65+,0.052687,0.165075
1,2017,stroke,total,0.032695,0.20211
1,2017,total,total,10.052969,10.44185
1,2018,childhood asthma,0-5,0.026975,0.052099
1,2018,childhood asthma,06-17,0.157119,0.124807
1,2018,childhood asthma,18-64,0.417909,0.297435
1,2018,childhood asthma,65+,0.10716,0.128334
1,2018,childhood asthma,total,0.709163,0.351038
1,2018,chronic obstructive pulmonary disease,0-5,0,0
1,2018,chronic obstructive pulmonary disease,06-17,0,0
1,2018,chronic obstructive pulmonary disease,18-64,11.066376,7.893545
1,2018,chronic obstructive pulmonary disease,65+,3.573585,7.204262
1,2018,chronic obstructive pulmonary disease,total,14.639961,10.686881
1,2018,coronary heart disease,0-5,0,0
1,2018,coronary heart disease,06-17,0,0
1,2018,coronary heart disease,18-64,0.18975,0.231456
1,2018,coronary heart disease,65+,0.420723,0.310252
1,2018,coronary heart disease,total,0.610473,0.387077
1,2018,lung cancer,0-5,0,0
1,2018,lung cancer,06-17,0.005274,0.016526
1,2018,lung cancer,18-64,0.579748,0.836752
1,2018,lung cancer,65+,0.077164,1.323166
1,2018,lung cancer,total,0.662184,1.565629
1,2018,stroke,0-5,-0.002078,0.008689
1,2018,stroke,06-17,0.009778,0.021436
1,2018,stroke,18-64,0.006305,0.117439
1,2018,stroke,65+,0.065518,0.167865
1,2018,stroke,total,0.079523,0.20617
1,2018,total,total,16.701303,10.815553
1,2019,childhood asthma,0-5,0.022995,0.052066
1,2019,childhood asthma,06-17,0.233985,0.126939
1,2019,childhood asthma,18-64,0.414689,0.30136
1,2019,childhood asthma,65+,0.10485,0.131042
1,2019,childhood asthma,total,0.77652,0.35611
1,2019,chronic obstructive pulmonary disease,0-5,0,0
1,2019,chronic obstructive pulmonary disease,06-17,0,0
1,2019,chronic obstructive pulmonary disease,18-64,18.996125,8.188317
1,2019,chronic obstructive pulmonary disease,65+,7.652545,7.407681
1,2019,chronic obstructive pulmonary disease,total,26.648671,11.041843
1,2019,coronary heart disease,0-5,0,0
1,2019,coronary heart disease,06-17,0,0
1,2019,coronary heart disease,18-64,0.318406,0.237698
1,2019,coronary heart disease,65+,0.588191,0.316052
1,2019,coronary heart disease,total,0.906597,0.395461
1,2019,lung cancer,0-5,0,0
1,2019,lung cancer,06-17,-0.000001,0.016604
1,2019,lung cancer,18-64,0.623934,0.875454
1,2019,lung cancer,65+,0.972113,1.368471
1,2019,lung cancer,total,1.596046,1.624626
1,2019,stroke,0-5,-0.00443,0.008665
1,2019,stroke,06-17,0.008892,0.021743
1,2019,stroke,18-64,0.018666,0.120476
1,2019,stroke,65+,0.09457,0.171118
1,2019,stroke,total,0.117698,0.210579
1,2019,total,total,30.045532,11.175385
1,2020,childhood asthma,0-5,0.007811,0.051921
1,2020,childhood asthma,06-17,0.348588,0.128898
1,2020,childhood asthma,18-64,0.446261,0.305164
1,2020,childhood asthma,65+,0.099478,0.134048
1,2020,childhood asthma,total,0.902136,0.361117
1,2020,chronic obstructive pulmonary disease,0-5,0,0
1,2020,chronic obstructive pulmonary disease,06-17,0,0
1,2020,chronic obstructive pulmonary disease,18-64,28.742218,8.469384
1,2020,chronic obstructive pulmonary disease,65+,13.771378,7.616202
1,2020,chronic obstructive pulmonary disease,total,42.513595,11.390215
1,2020,coronary heart disease,0-5,0,0
1,2020,coronary heart disease,06-17,0,0
1,2020,coronary heart disease,18-64,0.473053,0.24372
1,2020,coronary heart disease,65+,0.777416,0.322139
1,2020,coronary heart disease,total,1.250469,0.403946
1,2020,lung cancer,0-5,0,0
1,2020,lung cancer,06-17,0.007416,0.018531
1,2020,lung cancer,18-64,0.79735,0.907154
1,2020,lung cancer,65+,0.438798,1.411458
1,2020,lung cancer,total,1.243564,1.677941
1,2020,stroke,0-5,-0.00362,0.008737
1,2020,stroke,06-17,-0.003303,0.022026
1,2020,stroke,18-64,0.062682,0.123495
1,2020,stroke,65+,0.092808,0.174729
1,2020,stroke,total,0.148566,0.215273
1,2020,total,total,46.058331,11.527896
1,2021,childhood asthma,0-5,-0.012615,0.052336
1,2021,childhood asthma,06-17,0.484613,0.131511
1,2021,childhood asthma,18-64,0.466103,0.308953
1,2021,childhood asthma,65+,0.111571,0.137568
1,2021,childhood asthma,total,1.049671,0.366622
1,2021,chronic obstructive pulmonary disease,0-5,0,0
1,2021,chronic obstructive pulmonary disease,06-17,0,0
1,2021,chronic obstructive pulmonary disease,18-64,35.832699,8.762548
1,2021,chronic obstructive pulmonary disease,65+,18.786954,7.841641
1,2021,chronic obstructive pulmonary disease,total,54.619654,11.758978
1,2021,coronary heart disease,0-5,0,0
1,2021,coronary heart disease,06-17,0,0
1,2021,coronary heart disease,18-64,0.586334,0.250173
1,2021,coronary heart disease,65+,1.036841,0.329374
1,2021,coronary heart disease,total,1.623175,0.41361
1,2021,lung cancer,0-5,0,0
1,2021,lung cancer,06-17,-0.005719,0.018684
1,2021,lung cancer,18-64,0.588615,0.940588
1,2021,lung cancer,65+,0.912757,1.453063
1,2021,lung cancer,total,1.495653,1.731025
1,2021,stroke,0-5,-0.00164,0.008903
1,2021,stroke,06-17,0.00218,0.022618
1,2021,stroke,18-64,0.105031,0.126632
1,2021,stroke,65+,0.136897,0.178813
1,2021,stroke,total,0.242467,0.220455
1,2021,total,total,59.030621,11.900592
1,2022,childhood asthma,0-5,-0.007563,0.051565
1,2022,childhood asthma,06-17,0.63324,0.134508
1,2022,childhood asthma,18-64,0.480513,0.313096
1,2022,childhood asthma,65+,0.106479,0.141363
1,2022,childhood asthma,total,1.212668,0.372511
1,2022,chronic obstructive pulmonary disease,0-5,0,0
1,2022,chronic obstructive pulmonary disease,06-17,0,0
1,2022,chronic obstructive pulmonary disease,18-64,45.392935,9.066989
1,2022,chronic obstructive pulmonary disease,65+,24.630133,8.082385
1,2022,chronic obstructive pulmonary disease,total,70.023068,12.146408
1,2022,coronary heart disease,0-5,0,0
1,2022,coronary heart disease,06-17,0,0
1,2022,coronary heart disease,18-64,0.734051,0.257361
1,2022,coronary heart disease,65+,1.225352,0.337499
1,2022,coronary heart disease,total,1.959402,0.42443
1,2022,lung cancer,0-5,0,0
1,2022,lung cancer,06-17,-0.011776,0.018847
1,2022,lung cancer,18-64,0.73358,0.974836
1,2022,lung cancer,65+,0.822627,1.503351
1,2022,lung cancer,total,1.544431,1.791849
1,2022,stroke,0-5,-0.001063,0.008803
1,2022,stroke,06-17,0.002446,0.023129
1,2022,stroke,18-64,0.110225,0.130184
1,2022,stroke,65+,0.217413,0.183494
1,2022,stroke,total,0.329021,0.226341
1,2022,total,total,75.06859,12.292929
1,2023,childhood asthma,0-5,-0.027506,0.051138
1,2023,childhood asthma,06-17,0.791865,0.136862
1,2023,childhood asthma,18-64,0.492955,0.317389
1,2023,childhood asthma,65+,0.102586,0.145373
1,2023,childhood asthma,total,1.359901,0.378438
1,2023,chronic obstructive pulmonary disease,0-5,0,0
1,2023,chronic obstructive pulmonary disease,06-17,0,0
1,2023,chronic obstructive pulmonary disease,18-64,56.222177,9.354572
1,2023,chronic obstructive pulmonary disease,65+,29.028254,8.329901
