LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,POP,TOT,MLN_PER,A,2016,24.190907,
AUS,POP,TOT,MLN_PER,A,2017,24.60186,
AUS,POP,TOT,MLN_PER,A,2018,24.982688,
AUS,POP,TOT,MLN_PER,A,2019,25.365745,
AUS,POP,TOT,MLN_PER,A,2020,25.698093,
AUT,POP,TOT,MLN_PER,A,2016,8.739806,
AUT,POP,TOT,MLN_PER,A,2017,8.795073,
AUT,POP,TOT,MLN_PER,A,2018,8.837707,
AUT,POP,TOT,MLN_PER,A,2019,8.877637,
AUT,POP,TOT,MLN_PER,A,2020,8.916845,
BEL,POP,TOT,MLN_PER,A,2016,11.295003,
BEL,POP,TOT,MLN_PER,A,2017,11.349081,
BEL,POP,TOT,MLN_PER,A,2018,11.40374,
BEL,POP,TOT,MLN_PER,A,2019,11.462023,
BEL,POP,TOT,MLN_PER,A,2020,11.506938,
CAN,POP,TOT,MLN_PER,A,2016,36.109487,
CAN,POP,TOT,MLN_PER,A,2017,36.545295,
CAN,POP,TOT,MLN_PER,A,2018,37.065178,
CAN,POP,TOT,MLN_PER,A,2019,37.593384,
CAN,POP,TOT,MLN_PER,A,2020,38.005238,
CZE,POP,TOT,MLN_PER,A,2016,10.565284,
CZE,POP,TOT,MLN_PER,A,2017,10.589526,
CZE,POP,TOT,MLN_PER,A,2018,10.62643,
CZE,POP,TOT,MLN_PER,A,2019,10.669324,
CZE,POP,TOT,MLN_PER,A,2020,10.700155,
DNK,POP,TOT,MLN_PER,A,2016,5.724456,
DNK,POP,TOT,MLN_PER,A,2017,5.760694,
DNK,POP,TOT,MLN_PER,A,2018,5.789957,
DNK,POP,TOT,MLN_PER,A,2019,5.814461,
DNK,POP,TOT,MLN_PER,A,2020,5.825337,
FIN,POP,TOT,MLN_PER,A,2016,5.495297,
FIN,POP,TOT,MLN_PER,A,2017,5.508209,
FIN,POP,TOT,MLN_PER,A,2018,5.515525,
FIN,POP,TOT,MLN_PER,A,2019,5.521605,
FIN,POP,TOT,MLN_PER,A,2020,5.529545,
FRA,POP,TOT,MLN_PER,A,2015,66,638391,
FRA,POP,TOT,MLN_PER,A,2016,66.688563,
FRA,POP,TOT,MLN_PER,A,2017,66.883314,
FRA,POP,TOT,MLN_PER,A,2018,67.068133,
FRA,POP,TOT,MLN_PER,A,2019,67.215667,
FRA,POP,TOT,MLN_PER,A,2020,67.347238,
DEU,POP,TOT,MLN_PER,A,2016,82.348669,
DEU,POP,TOT,MLN_PER,A,2017,82.657,
DEU,POP,TOT,MLN_PER,A,2018,82.905788,
DEU,POP,TOT,MLN_PER,A,2019,83.092958,
DEU,POP,TOT,MLN_PER,A,2020,83.160874,
GRC,POP,TOT,MLN_PER,A,2016,10.775966,
GRC,POP,TOT,MLN_PER,A,2017,10.754679,
GRC,POP,TOT,MLN_PER,A,2018,10.732877,
GRC,POP,TOT,MLN_PER,A,2019,10.721584,
GRC,POP,TOT,MLN_PER,A,2020,10.707972,
HUN,POP,TOT,MLN_PER,A,2016,9.814026,
HUN,POP,TOT,MLN_PER,A,2017,9.787969,
HUN,POP,TOT,MLN_PER,A,2018,9.775566,
HUN,POP,TOT,MLN_PER,A,2019,9.771142,
HUN,POP,TOT,MLN_PER,A,2020,9.750153,
ISL,POP,TOT,MLN_PER,A,2016,0.335435,
ISL,POP,TOT,MLN_PER,A,2017,0.343399,
ISL,POP,TOT,MLN_PER,A,2018,0.352722,
ISL,POP,TOT,MLN_PER,A,2019,0.360558,
ISL,POP,TOT,MLN_PER,A,2020,0.366462,
IRL,POP,TOT,MLN_PER,A,2016,4.739597,
IRL,POP,TOT,MLN_PER,A,2017,4.79249,
IRL,POP,TOT,MLN_PER,A,2018,4.857015,
IRL,POP,TOT,MLN_PER,A,2019,4.921496,
IRL,POP,TOT,MLN_PER,A,2020,4.977443,
ITA,POP,TOT,MLN_PER,A,2016,60.11522,
ITA,POP,TOT,MLN_PER,A,2017,60.002254,
ITA,POP,TOT,MLN_PER,A,2018,59.877216,
ITA,POP,TOT,MLN_PER,A,2019,59.729077,
ITA,POP,TOT,MLN_PER,A,2020,59.449527,
JPN,POP,TOT,MLN_PER,A,2016,126.932772,
JPN,POP,TOT,MLN_PER,A,2017,126.70621,
JPN,POP,TOT,MLN_PER,A,2018,126.44318,
JPN,POP,TOT,MLN_PER,A,2019,126.166948,
JPN,POP,TOT,MLN_PER,A,2020,125.708,
KOR,POP,TOT,MLN_PER,A,2016,51.217803,
KOR,POP,TOT,MLN_PER,A,2017,51.361911,
KOR,POP,TOT,MLN_PER,A,2018,51.606633,
KOR,POP,TOT,MLN_PER,A,2019,51.709098,
KOR,POP,TOT,MLN_PER,A,2020,51.780579,
LUX,POP,TOT,MLN_PER,A,2016,0.583459,
LUX,POP,TOT,MLN_PER,A,2017,0.596337,
LUX,POP,TOT,MLN_PER,A,2018,0.60795,
LUX,POP,TOT,MLN_PER,A,2019,0.620003,
LUX,POP,TOT,MLN_PER,A,2020,0.630413,
MEX,POP,TOT,MLN_PER,A,2016,122.715165,
MEX,POP,TOT,MLN_PER,A,2017,124.041731,
MEX,POP,TOT,MLN_PER,A,2018,125.327797,
MEX,POP,TOT,MLN_PER,A,2019,126.577691,
MEX,POP,TOT,MLN_PER,A,2020,127.792286,
NLD,POP,TOT,MLN_PER,A,2016,17.030314,
NLD,POP,TOT,MLN_PER,A,2017,17.131295,
NLD,POP,TOT,MLN_PER,A,2018,17.231622,
NLD,POP,TOT,MLN_PER,A,2019,17.344876,
NLD,POP,TOT,MLN_PER,A,2020,17.4415,
NZL,POP,TOT,MLN_PER,A,2016,4.7141,
NZL,POP,TOT,MLN_PER,A,2017,4.8136,
NZL,POP,TOT,MLN_PER,A,2018,4.9006,
NZL,POP,TOT,MLN_PER,A,2019,4.9792,
NZL,POP,TOT,MLN_PER,A,2020,5.0936,
NOR,POP,TOT,MLN_PER,A,2016,5.236152,
NOR,POP,TOT,MLN_PER,A,2017,5.276965,
NOR,POP,TOT,MLN_PER,A,2018,5.311916,
NOR,POP,TOT,MLN_PER,A,2019,5.347893,
NOR,POP,TOT,MLN_PER,A,2020,5.379472,
POL,POP,TOT,MLN_PER,A,2016,38.426809,
POL,POP,TOT,MLN_PER,A,2017,38.422346,
POL,POP,TOT,MLN_PER,A,2018,38.413139,
POL,POP,TOT,MLN_PER,A,2019,38.386476,
POL,POP,TOT,MLN_PER,A,2020,38.354173,
PRT,POP,TOT,MLN_PER,A,2016,10.3254515,
PRT,POP,TOT,MLN_PER,A,2017,10.3003,
PRT,POP,TOT,MLN_PER,A,2018,10.283822,
PRT,POP,TOT,MLN_PER,A,2019,10.286263,
PRT,POP,TOT,MLN_PER,A,2020,10.2970805,
SVK,POP,TOT,MLN_PER,A,2016,5.4307975,
SVK,POP,TOT,MLN_PER,A,2017,5.4392315,
SVK,POP,TOT,MLN_PER,A,2018,5.4467705,
SVK,POP,TOT,MLN_PER,A,2019,5.454147,
SVK,POP,TOT,MLN_PER,A,2020,5.458827,
ESP,POP,TOT,MLN_PER,A,2016,46.449874,
ESP,POP,TOT,MLN_PER,A,2017,46.532869,
ESP,POP,TOT,MLN_PER,A,2018,46.728814,
ESP,POP,TOT,MLN_PER,A,2019,47.105358,
ESP,POP,TOT,MLN_PER,A,2020,47.351567,
SWE,POP,TOT,MLN_PER,A,2016,9.923086,
SWE,POP,TOT,MLN_PER,A,2017,10.057695,
SWE,POP,TOT,MLN_PER,A,2018,10.175215,
SWE,POP,TOT,MLN_PER,A,2019,10.278888,
SWE,POP,TOT,MLN_PER,A,2020,10.353444,
CHE,POP,TOT,MLN_PER,A,2016,8.373334,
CHE,POP,TOT,MLN_PER,A,2017,8.451834,
CHE,POP,TOT,MLN_PER,A,2018,8.514327,
CHE,POP,TOT,MLN_PER,A,2019,8.57528,
CHE,POP,TOT,MLN_PER,A,2020,8.636563,
TUR,POP,TOT,MLN_PER,A,2016,79.277971,
TUR,POP,TOT,MLN_PER,A,2017,80.312708,
TUR,POP,TOT,MLN_PER,A,2018,81.407211,
TUR,POP,TOT,MLN_PER,A,2019,82.579448,
TUR,POP,TOT,MLN_PER,A,2020,83.384688,
GBR,POP,TOT,MLN_PER,A,2016,65.648054,
GBR,POP,TOT,MLN_PER,A,2017,66.040229,
GBR,POP,TOT,MLN_PER,A,2018,66.43555,
GBR,POP,TOT,MLN_PER,A,2019,66.796807,
