Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Bean_Black_Turtle,High_ozone_heated,1,25,19.01,111,14.326,,,0.7604,129.0630631,4.44,,,,,
Bean_Black_Turtle,High_ozone_heated,2,20,13.399,88,9.974,,,0.66995,113.3409091,4.4,,,,,
Bean_Black_Turtle,High_ozone_heated,3,7,4.938,28,3.764,,,0.705428571,134.4285714,4,,,,,
Bean_Pinto,High_ozone_heated,1,11,8.538,27,6.391,,,0.776181818,236.7037037,2.454545455,,,,,
Bean_Pinto,High_ozone_heated,2,6,5.055,19,4.056,,,0.8425,213.4736842,3.166666667,,,,,
Bean_Pinto,High_ozone_heated,3,17,9.533,29,7.3,,,0.560764706,251.7241379,1.705882353,,,,,
Bean_Cannellini,High_ozone_heated,1,17,14.49,41,9.662,,,0.852352941,235.6585366,2.411764706,,,,,
Bean_Cannellini,High_ozone_heated,2,6,4.473,11,3.224,,,0.7455,293.0909091,1.833333333,,,,,
Bean_Cannellini,High_ozone_heated,3,10,5.695,18,3.802,,,0.5695,211.2222222,1.8,,,,,
Bean_Cannellini,High_ozone_heated,4,,,,,,,,,,,,,,
Cowpea_Black_Eye,High_ozone_heated,1,16,18.802,75,14.85,,,1.175125,198,4.6875,,,,,
Cowpea_Black_Eye,High_ozone_heated,2,8,14.051,54,11.488,,,1.756375,212.7407407,6.75,,,,,
Cowpea_Black_Eye,High_ozone_heated,3,6,8.635,39,6.854,,,1.439166667,175.7435897,6.5,,,,,
Cowpea_Black_Eye,High_ozone_heated,4,5,7.357,29,5.956,,,1.4714,205.3793103,5.8,,,,,
Bean_Orca,High_ozone_heated,1,8,6.578,16,4.502,,,0.82225,281.375,2,,,,,
Bean_Orca,High_ozone_heated,2,9,9.97,25,7.315,,,1.107777778,292.6,2.777777778,,,,,
Bean_Orca,High_ozone_heated,3,9,7.046,18,4.956,,,0.782888889,275.3333333,2,,,,,
Bean_Orca,High_ozone_heated,4,5,3.308,19,2.396,,,0.6616,126.1052632,3.8,,,,,
