Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Average bean number,Bean_weight_grams,Average bean weight grams,Average_ Pod_weight_grams,Average_bean_weight_grams,Average_beans_per_pod_number,Total_tuber_weight_grams
Bean_Orca,Low_ozone_heated,1,5,3.48,10,12.6,2.63,2.714,0.696,0.263,2,
Bean_Orca,Low_ozone_heated,13,8,9.73,27,,7.17,,1.21625,0.265555556,3.375,
Bean_Orca,Low_ozone_heated,6,2,1,7,,0.52,,0.5,0.074285714,3.5,
Bean_Orca,Low_ozone_heated,9,3,1.74,11,,1.15,,0.58,0.104545455,3.666666667,
Bean_Orca,Low_ozone_heated,11,2,2.72,8,,2.1,,1.36,0.2625,4,
Bean_Orca,Medium_ozone_heated,2,2,4.82,7,8,0.79,1.7375,2.41,0.112857143,3.5,
Bean_Orca,Medium_ozone_heated,4,2,3.39,10,,2.47,,1.695,0.247,5,
Bean_Orca,Medium_ozone_heated,8,2,4.49,8,,1.83,,2.245,0.22875,4,
Bean_Orca,Medium_ozone_heated,12,2,2.49,7,,1.86,,1.245,0.265714286,3.5,
Bean_Orca,High_ozone_heated,3,1,0.54,2,2.8,0.43,0.554,0.54,0.215,2,
Bean_Orca,High_ozone_heated,5,1,0.56,2,,0.43,,0.56,0.215,2,
Bean_Orca,High_ozone_heated,7,1,0.65,2,,0.48,,0.65,0.24,2,
Bean_Orca,High_ozone_heated,10,1,0.94,5,,0.66,,0.94,0.132,5,
Bean_Orca,High_ozone_heated,14,2,2.18,3,,0.77,,1.09,0.256666667,1.5,
Bean_Pinto,Low_ozone_heated,2,5,6.59,11,4.6,3.94,1.542,1.318,0.358181818,2.2,
Bean_Pinto,Low_ozone_heated,6,1,0.65,2,,0.45,,0.65,0.225,2,
Bean_Pinto,Low_ozone_heated,8,1,0.38,2,,0.27,,0.38,0.135,2,
Bean_Pinto,Low_ozone_heated,11,3,3.38,6,,2.51,,1.126666667,0.418333333,2,
Bean_Pinto,Low_ozone_heated,13,2,0.75,2,,0.54,,0.375,0.27,1,
Bean_Pinto,Medium_ozone_heated,3,2,1.62,5,4.5,1.32,1.5225,0.81,0.264,2.5,
Bean_Pinto,Medium_ozone_heated,9,5,3.35,8,,2.66,,0.67,0.3325,1.6,
Bean_Pinto,Medium_ozone_heated,11,1,1.01,1,,0.64,,1.01,0.64,1,
Bean_Pinto,Medium_ozone_heated,14,3,2.1,4,,1.47,,0.7,0.3675,1.333333333,
Bean_Pinto,High_ozone_heated,7,1,0.8,2,3.333333333,0.6,0.943333333,0.8,0.3,2,
Bean_Pinto,High_ozone_heated,12,1,1.3,3,,1.05,,1.3,0.35,3,
Bean_Pinto,High_ozone_heated,15,3,1.73,5,,1.18,,0.576666667,0.236,1.666666667,
Bean_Turtle,Low_ozone_heated,1,7,5.79,21,28,4.4,3.3475,0.827142857,0.20952381,3,
Bean_Turtle,Low_ozone_heated,6,1,0.56,4,,0.42,,0.56,0.105,4,
Bean_Turtle,Low_ozone_heated,8,8,8.79,31,,6.48,,1.09875,0.209032258,3.875,
Bean_Turtle,Low_ozone_heated,10,4,2.94,16,,2.09,,0.735,0.130625,4,
Bean_Turtle,Low_ozone_heated,13,16,19.22,68,,14.49,,1.20125,0.213088235,4.25,
Bean_Turtle,Medium_ozone_heated,3,2,0.66,4,8,0.46,0.998,0.33,0.115,2,
Bean_Turtle,Medium_ozone_heated,5,1,0.92,6,,0.67,,0.92,0.111666667,6,
Bean_Turtle,Medium_ozone_heated,7,1,0.27,1,,0.15,,0.27,0.15,1,
Bean_Turtle,Medium_ozone_heated,15,5,3.96,18,,2.65,,0.792,0.147222222,3.6,
Bean_Turtle,Medium_ozone_heated,12,5,1.66,11,,1.06,,0.332,0.096363636,2.2,
Bean_Turtle,High_ozone_heated,2,3,1.35,5,9.666666667,1.03,1.3075,0.45,0.206,1.666666667,
Bean_Turtle,High_ozone_heated,9,2,2.38,8,,1.91,,1.19,0.23875,4,
Bean_Turtle,High_ozone_heated,11,2,0.53,3,,0.28,,0.265,0.093333333,1.5,
Bean_Turtle,High_ozone_heated,14,5,2.77,18,,2.01,,0.554,0.111666667,3.6,
