Year,Deaths,Cause of Death
1990,1317.253191,Deaths - HIV/AIDS
1991,1388.861824,Deaths - HIV/AIDS
1992,1400.236069,Deaths - HIV/AIDS
1993,1423.658484,Deaths - HIV/AIDS
1994,1409.922757,Deaths - HIV/AIDS
1995,1490.540113,Deaths - HIV/AIDS
1996,1799.772191,Deaths - HIV/AIDS
1997,1793.938124,Deaths - HIV/AIDS
1998,1630.108991,Deaths - HIV/AIDS
1999,1533.082199,Deaths - HIV/AIDS
2000,1387.724681,Deaths - HIV/AIDS
2001,1248.276227,Deaths - HIV/AIDS
2002,1121.00419,Deaths - HIV/AIDS
2003,1069.953931,Deaths - HIV/AIDS
2004,963.5718487,Deaths - HIV/AIDS
2005,921.0586957,Deaths - HIV/AIDS
2006,862.930392,Deaths - HIV/AIDS
2007,759.0391723,Deaths - HIV/AIDS
2008,721.6161213,Deaths - HIV/AIDS
2009,594.1166533,Deaths - HIV/AIDS
2010,606.8131665,Deaths - HIV/AIDS
2011,537.6820557,Deaths - HIV/AIDS
2012,500.321037,Deaths - HIV/AIDS
2013,471.3148634,Deaths - HIV/AIDS
2014,417.7499485,Deaths - HIV/AIDS
2015,407.2584599,Deaths - HIV/AIDS
2016,406.2836123,Deaths - HIV/AIDS
2017,387.580866,Deaths - HIV/AIDS
1990,305.457705,Deaths - Measles
1991,209.9765823,Deaths - Measles
1992,133.2374397,Deaths - Measles
1993,108.4029074,Deaths - Measles
1994,96.01987013,Deaths - Measles
1995,73.84502609,Deaths - Measles
1996,53.59635581,Deaths - Measles
1997,41.26419193,Deaths - Measles
1998,29.93238742,Deaths - Measles
1999,23.47948522,Deaths - Measles
2000,19.53450739,Deaths - Measles
2001,17.58392114,Deaths - Measles
2002,16.17607853,Deaths - Measles
2003,14.66882379,Deaths - Measles
2004,13.61159788,Deaths - Measles
2005,12.50364321,Deaths - Measles
2006,11.55649928,Deaths - Measles
2007,10.91952109,Deaths - Measles
2008,10.41809841,Deaths - Measles
2009,10.07263898,Deaths - Measles
2010,9.687857016,Deaths - Measles
2011,9.256530229,Deaths - Measles
2012,8.854916664,Deaths - Measles
2013,8.712785654,Deaths - Measles
2014,8.407241953,Deaths - Measles
2015,8.696411045,Deaths - Measles
2016,9.522326992,Deaths - Measles
2017,8.243076259,Deaths - Measles
1990,37925.65806,Deaths - Diarrheal diseases
1991,34829.67915,Deaths - Diarrheal diseases
1992,31726.17581,Deaths - Diarrheal diseases
1993,28962.76989,Deaths - Diarrheal diseases
1994,26231.60339,Deaths - Diarrheal diseases
1995,23688.73064,Deaths - Diarrheal diseases
1996,20937.31094,Deaths - Diarrheal diseases
1997,18558.59697,Deaths - Diarrheal diseases
1998,16956.18569,Deaths - Diarrheal diseases
1999,15074.993,Deaths - Diarrheal diseases
2000,13167.42316,Deaths - Diarrheal diseases
2001,11550.72881,Deaths - Diarrheal diseases
2002,10311.66489,Deaths - Diarrheal diseases
2003,9233.58893,Deaths - Diarrheal diseases
2004,8172.270358,Deaths - Diarrheal diseases
2005,7316.850141,Deaths - Diarrheal diseases
2006,6488.004248,Deaths - Diarrheal diseases
2007,5634.973638,Deaths - Diarrheal diseases
2008,4871.028081,Deaths - Diarrheal diseases
2009,4215.929033,Deaths - Diarrheal diseases
2010,3631.719781,Deaths - Diarrheal diseases
2011,3126.520365,Deaths - Diarrheal diseases
2012,2787.255064,Deaths - Diarrheal diseases
2013,2509.994096,Deaths - Diarrheal diseases
2014,2231.895605,Deaths - Diarrheal diseases
2015,2023.768263,Deaths - Diarrheal diseases
2016,1894.389621,Deaths - Diarrheal diseases
2017,1795.329985,Deaths - Diarrheal diseases
1990,274.1923745,Deaths - Malaria
1991,237.9138951,Deaths - Malaria
1992,201.9973272,Deaths - Malaria
1993,171.5089393,Deaths - Malaria
1994,136.2772404,Deaths - Malaria
1995,107.340107,Deaths - Malaria
1996,86.85441654,Deaths - Malaria
1997,71.6315742,Deaths - Malaria
1998,59.6242225,Deaths - Malaria
1999,49.04159032,Deaths - Malaria
2000,38.86973209,Deaths - Malaria
2001,31.97437494,Deaths - Malaria
2002,26.34044627,Deaths - Malaria
2003,21.93608309,Deaths - Malaria
2004,18.62534865,Deaths - Malaria
2005,15.99582817,Deaths - Malaria
2006,13.85036372,Deaths - Malaria
2007,11.96126894,Deaths - Malaria
2008,10.44204198,Deaths - Malaria
2009,9.026560361,Deaths - Malaria
2010,7.88122444,Deaths - Malaria
2011,6.862330916,Deaths - Malaria
2012,5.827988524,Deaths - Malaria
2013,5.140264506,Deaths - Malaria
2014,4.691051684,Deaths - Malaria
2015,4.113381702,Deaths - Malaria
2016,4.039872724,Deaths - Malaria
2017,3.929353079,Deaths - Malaria
1990,35809.86846,Deaths - Lower respiratory infections
1991,32855.87269,Deaths - Lower respiratory infections
1992,30454.7167,Deaths - Lower respiratory infections
1993,28390.74682,Deaths - Lower respiratory infections
1994,26372.23836,Deaths - Lower respiratory infections
1995,24532.05625,Deaths - Lower respiratory infections
1996,22473.08839,Deaths - Lower respiratory infections
1997,20732.79462,Deaths - Lower respiratory infections
1998,19193.55838,Deaths - Lower respiratory infections
1999,17929.37078,Deaths - Lower respiratory infections
2000,16530.69739,Deaths - Lower respiratory infections
2001,15089.56226,Deaths - Lower respiratory infections
2002,13843.34863,Deaths - Lower respiratory infections
2003,12797.01206,Deaths - Lower respiratory infections
2004,11928.08549,Deaths - Lower respiratory infections
2005,11101.07116,Deaths - Lower respiratory infections
2006,10293.98582,Deaths - Lower respiratory infections
2007,9542.705769,Deaths - Lower respiratory infections
2008,8853.312944,Deaths - Lower respiratory infections
2009,8278.220751,Deaths - Lower respiratory infections
2010,7630.681168,Deaths - Lower respiratory infections
2011,7141.720922,Deaths - Lower respiratory infections
2012,6679.887485,Deaths - Lower respiratory infections
2013,6258.109697,Deaths - Lower respiratory infections
2014,5766.11152,Deaths - Lower respiratory infections
2015,5255.835323,Deaths - Lower respiratory infections
2016,4871.824933,Deaths - Lower respiratory infections
2017,4489.548493,Deaths - Lower respiratory infections
