Year,Growth of Exports (%),GDP growth (%)
1971,6.918852127,3.6
1972,1.075479417,4.3
1973,12.30541035,6.5
1974,7.313151675,-2.5
1975,-2.963271644,-1.5
1976,9.106148329,3.0
1977,6.878461517,2.4
1978,1.848927151,4.2
1979,3.7709391,3.7
1980,-0.301557864,-2.1
1981,-0.49433853,-0.7
1982,1.112930822,2.0
1983,2.012882295,4.2
1984,6.741048784,2.2
1985,5.853191443,4.1
1986,4.164219162,3.2
1987,5.858684632,5.4
1988,0.59606061,5.6
1989,4.555603275,2.4
1990,5.281097155,0.6
1991,0.165924423,-1.2
1992,4.529826981,0.3
1993,4.550800362,2.4
1994,9.229266111,3.8
1995,9.445678423,2.4
1996,7.09813601,2.4
1997,12.29342976,4.9
1998,2.665464556,3.2
1999,3.000112808,3.0
2000,8.791370347,3.7
2001,3.148799819,2.1
2002,1.46072159,2.1
2003,1.994628869,3.0
2004,4.979159585,2.4
2005,7.292079945,2.6
2006,12.82975003,2.6
2007,-1.506774197,2.3
2008,1.033183673,-0.2
2009,-8.840486878,-4.2
2010,5.577006038,2.1
2011,7.342043028,1.5
2012,0.646692271,1.5
2013,0.868676324,1.9
2014,0.818335088,3.0
2015,3.76466422,2.6
2016,3.341621379,2.3
2017,5.653687459,2.1
2018,2.776752359,1.7
2019,3.35846648,1.7
2020,-14.68759374,-9.7
